egid;xkoordinaten;ykoordinaten;wirtschaftseinheit;vermoegensart;aktuelle_nutzung;prio
;2628396.8;1244655.4;GE 005/2714/13;FV;Sonstiges;
;2634520.3;1243790.4;GE 005/3709/2;VV;Verwaltung;
;2634971;1245168;GE 005/1717/3;VV;;
;2634992.8;1245231.1;GE 005/1717/4;VV;Bildung - BBZ;A
;2635064.2;1245241.8;GE 005/2705/6;FV;;
;2635124.8;1244544.9;GE 005/3701/2;VV;Sonstiges;A
;2635474.5;1244136.9;GE 005/1715/1;FV;Sonstiges;
;2635534.3;1244223.8;GE 005/1711/4;VV;Bildung - BBZ;
;2635624.8;1244264.7;GE 005/1712/3;VV;;
;2635640.4;1244262.8;GE 005/1712/2;VV;;
;2637182;1248900;GE 005/3804/5;SV;Stiftung;B
;2637416.5;1248942.8;GE 005/3804/7;SV;Stiftung;B
;2637656.5;1248872.3;GE 005/3804/9;SV;Stiftung;B
